Criteria,GUEA_ses1,RABA_ses1,GUEA_ses2,RABA_ses2
Shoulder_Flexion-CAI_Delt,6.37,-1.46,-0.04,N/A
Elbow_Flexion-CAI_BiTri,-51.11,-26.75,-26.88,N/A
Pointing-CAI_BiTri,10.31,54.27,-66.61,N/A
Pointing-CAI_Delt,64.09,65.80,-12.25,N/A
HFT_LLO-time,-7.31,-0.4,N/A,N/A
HFT_LLO-CAI_BiTri,-18.71,-16.09,-27.19,N/A
HFT_LLO-CAI_Delt,101.45,0.79,-22.57,N/A
Joystick-time,-43.03,-23.35,N/A,N/A
Joystick-CAI_BiTri,-61.45,-7.73,-25.85,N/A
Joystick-CAI_Delt,-7.25,-42.44,80.34,N/A
Jamar-force,3.07,1.67,N/A,N/A
Jamar-CAI_BiTri,41.07,6.05,-100.00,N/A
Jamar-CAI_Delt,204.13,-6.82,24.76,N/A
HFT_spoon-time,5.57,1.99,N/A,N/A
HFT_spoon-CAI_BiTri,-72.63,-18.58,-34.39,N/A
HFT_spoon-CAI_Delt,9.61,1.19,-35.68,N/A
BBT-nb_blocks,-1.75,8.06,N/A,N/A
BBT-CAI_BiTri,-50.11,3.58,-42.52,N/A
BBT-CAI_Delt,37.47,0.60,-71.06,N/A
